"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Brandon Bailey","CIN","0","0","4.93","0","1","0","1.0","1","1","0","1","0","1.46","9.22","4.33","4.98","0.0","0.0","999.0","19582"
"Robert Broom","CLE","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.45","8.82","4.37","4.78","0.0","0.0","999.0","sa3007235"
"Erasmo Pinales","","0","0","4.65","0","1","0","1.0","1","1","0","1","1","1.47","9.40","4.85","4.80","0.0","0.0","999.0","sa795280"
"Dusty Isaacs","","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.44","8.94","4.30","4.80","0.0","0.0","999.0","sa550364"
"Cooper Casad","","0","0","4.70","0","1","0","1.0","1","1","0","1","0","1.46","7.91","3.95","4.80","0.0","0.0","999.0","sa3008135"
"John Fasola","","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.48","8.14","4.26","4.80","0.0","0.0","999.0","sa550022"
"D.J. Snelten","CHC","0","0","4.53","0","1","0","1.0","1","1","0","1","1","1.54","7.62","4.68","4.73","0.0","0.0","999.0","15949"
"Austin Mason","","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.48","8.16","4.34","4.80","0.0","0.0","999.0","sa875720"
"Gabriel Moya","","0","0","4.59","0","1","0","1.0","1","1","0","1","0","1.40","8.74","3.85","4.81","0.0","0.0","999.0","16348"
"Tony Zych","","0","0","4.68","0","1","0","1.0","1","1","0","1","0","1.47","7.97","4.13","4.81","0.0","0.0","999.0","12876"
"Sam Tuivailala","","0","0","4.75","0","1","0","1.0","1","1","0","1","0","1.43","7.96","3.65","4.81","0.0","0.0","601.0","13485"
"Jeremy Beasley","","0","0","4.54","0","1","0","1.0","1","1","0","1","0","1.40","8.14","3.60","4.61","0.0","0.0","999.0","20205"
"Dauris Valdez","SDP","0","0","4.43","0","1","0","1.0","1","0","0","1","1","1.45","9.37","4.88","4.68","0.0","0.0","999.0","sa917999"
"Jeffrey Passantino","PIT","0","0","4.73","0","1","0","1.0","1","1","0","1","0","1.36","8.05","2.97","4.70","0.0","0.0","999.0","sa915726"
"Mike Clevinger","SDP","0","0","3.48","0","0","0","1.0","1","0","0","1","0","1.19","10.76","3.23","3.60","0.0","0.0","598.7","12808"
"Justin Verlander","HOU","0","0","3.65","0","0","0","1.0","1","0","0","1","0","1.10","11.21","2.38","3.71","0.0","0.0","596.9","8700"
"Masahiro Tanaka","","0","0","4.03","0","0","0","1.0","1","0","0","1","0","1.24","8.40","2.12","4.08","0.0","0.0","599.8","15764"
"Joshua Green","ARI","0","0","4.38","0","0","0","1.0","1","0","0","1","0","1.41","6.68","2.91","4.33","0.0","0.0","999.0","sa3006701"
"Matthew Peacock","","0","0","4.50","0","0","0","1.0","1","1","0","1","0","1.52","6.60","3.86","4.47","0.0","0.0","999.0","sa3004019"
"Brett Kennedy","SDP","0","0","4.41","0","0","0","1.0","1","0","0","1","0","1.37","7.70","3.23","4.50","0.0","0.0","999.0","17877"
"Steven Fuentes","","0","0","4.48","0","0","0","1.0","1","0","0","1","0","1.42","8.06","3.62","4.52","0.0","0.0","999.0","sa828326"
"Scott Peoples","","0","0","4.50","0","0","0","1.0","1","0","0","1","0","1.35","7.31","2.66","4.54","0.0","0.0","999.0","sa658314"
