"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Lane Thomas","","26","113","102","22","5","1","3","13","11","9","35","2","1",".215",".284",".366",".650",".283","598.0","16939"
"Chad Tromp","","3","13","12","3","1","0","0","1","1","1","3","0","0",".222",".281",".372",".653",".283","600.9","16953"
"Jonathan Davis","TOR","13","56","49","11","2","0","1","7","5","4","16","1","0",".215",".296",".343",".639",".283","999.0","15104"
"Tony Kemp","OAK","78","329","293","68","12","2","4","35","24","29","54","7","3",".233",".308",".328",".636",".283","599.6","14894"
"Nicholas Gordon","","3","14","13","3","1","0","0","2","1","1","3","0","0",".242",".293",".356",".649",".283","999.0","sa828662"
"Mickey Moniak","","19","85","79","18","4","1","2","9","9","5","24","1","0",".231",".281",".374",".655",".283","999.0","19956"
"Dustin Fowler","PIT","97","416","387","89","20","3","11","44","43","23","112","9","2",".230",".278",".379",".656",".283","600.6","17098"
"Brett Phillips","TBR","16","69","61","12","2","0","2","8","7","7","25","2","1",".199",".288",".358",".646",".283","600.9","14735"
"Estevan Florial","NYY","2","7","6","1","0","0","0","1","1","1","3","0","0",".210",".285",".363",".648",".283","999.0","19151"
"Brandon Drury","NYM","2","7","6","1","0","0","0","1","1","0","2","0","0",".223",".284",".365",".649",".282","999.0","11615"
"Jake Rogers","DET","29","113","100","20","4","0","4","12","12","10","37","1","0",".200",".281",".364",".645",".282","600.6","19452"
"Jasrado Chisholm","MIA","120","518","467","95","18","3","18","58","55","43","190","10","3",".204",".276",".374",".650",".282","999.0","20454"
"Luis Guillorme","NYM","52","227","202","47","8","0","3","23","18","22","47","2","1",".234",".311",".318",".629",".282","599.5","16451"
"Jon Jay","LAA","5","21","19","5","1","0","0","2","2","1","4","0","0",".249",".310",".321",".632",".282","999.0","5227"
"Joey Bart","","16","64","59","13","3","0","2","7","7","3","19","0","0",".227",".277",".376",".653",".282","533.3","21524"
"Travis Jankowski","PHI","2","7","6","1","0","0","0","1","0","1","2","0","0",".234",".313",".311",".624",".281","999.0","13768"
"Mark Mathias","MIL","2","7","6","1","0","0","0","1","1","1","2","0","0",".219",".294",".345",".639",".281","999.0","18032"
"Daz Cameron","DET","15","62","56","12","3","1","1","7","5","5","19","1","0",".216",".287",".355",".642",".281","600.9","18353"
"Max Schrock","","21","92","85","20","4","0","1","10","8","6","16","1","0",".239",".295",".345",".640",".281","999.0","17750"
"Jacob Nottingham","MIL","36","145","131","27","6","0","5","15","17","10","49","1","0",".205",".277",".370",".647",".281","600.5","16448"
"Phil Gosselin","LAA","2","7","6","1","0","0","0","1","1","1","2","0","0",".229",".292",".349",".640",".281","999.0","10953"
"Jose Briceno","","10","38","35","8","2","0","1","4","4","2","10","0","0",".223",".267",".389",".656",".281","999.0","13151"
"Jahmai Jones","","39","163","148","33","6","1","3","17","14","13","40","3","1",".225",".293",".347",".640",".281","600.9","18872"
"Andrew Susac","PIT","11","45","39","8","2","0","1","4","5","5","14","0","0",".199",".290",".346",".636",".281","999.0","13132"
"Jared Oliva","PIT","23","97","88","20","4","1","2","10","8","7","26","3","1",".230",".294",".347",".640",".281","999.0","19968"
"Thairo Estrada","NYY","16","70","65","15","3","0","2","8","7","4","17","1","0",".237",".286",".360",".645",".281","999.0","16426"
"Jarrod Dyson","KCR","57","240","214","50","8","2","2","29","16","21","43","14","3",".232",".306",".321",".627",".280","600.7","4866"
"Jacob Stallings","PIT","102","399","361","83","18","0","9","36","41","28","99","0","0",".229",".291",".352",".643",".280","497.0","13723"
"Pat Valaika","BAL","42","177","164","36","7","0","7","18","19","10","50","1","0",".218",".266",".388",".654",".280","572.9","14885"
"Jason Martin","TEX","3","14","12","3","1","0","0","1","1","1","4","0","0",".223",".283",".362",".645",".280","999.0","16429"
"DJ Peters","","2","7","6","1","0","0","0","1","1","1","3","0","0",".198",".278",".361",".639",".280","999.0","sa829712"
