"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Yandy Diaz","Rays","45","186","163","44","8","1","6","24","21","20","35","1","1",".272",".352",".440",".792",".337","285.5","16578"
"Eric Thames","Nationals","48","177","154","37","8","1","9","25","24","20","54","1","1",".240",".335",".471",".806",".337","389.3","3711"
"Daniel Vogelbach","Brewers","42","168","142","33","6","0","8","20","22","25","42","0","0",".232",".349",".437",".786",".337","566.8","14130"
"Mike Moustakas","Reds","55","229","206","53","10","0","12","30","36","19","38","1","0",".259",".324",".488",".813",".337","95.2","4892"
"David Peralta","Diamondbacks","50","209","190","53","10","2","7","25","28","16","41","1","0",".277",".339",".459",".798",".337","248.9","2136"
"DJ LeMahieu","Yankees","49","215","196","58","9","1","6","32","25","16","31","2","1",".295",".348",".443",".791",".336","71.9","9874"
"Cavan Biggio","Blue Jays","52","223","186","44","9","1","8","30","26","34","61","6","2",".236",".355",".425",".780",".336","126.6","19252"
"Willie Calhoun","Rangers","42","172","157","42","8","1","8","22","23","13","27","0","0",".267",".326",".477",".803",".336","202.3","17838"
"Bo Bichette","Blue Jays","53","230","211","58","15","1","8","32","26","16","47","7","3",".276",".331",".469",".799",".336","49.7","19612"
"Brian Anderson","Marlins","53","222","197","52","11","1","8","27","26","19","48","2","1",".265",".342",".447",".789",".336","225.5","18289"
"Javier Baez","Cubs","56","230","215","59","13","2","11","35","36","12","62","5","2",".276",".315",".507",".822",".336","34.4","12979"
"Nick Solak","Rangers","45","186","165","44","7","1","7","23","22","17","42","2","1",".266",".344",".442",".786",".335","284.6","19294"
"Christian Walker","Diamondbacks","49","194","173","43","9","1","9","26","26","18","51","2","1",".251",".331",".464",".795",".335","206.3","13419"
"Aaron Hicks","Yankees","43","180","154","37","7","0","8","26","23","23","42","2","1",".243",".341",".448",".789",".335","325.5","5297"
"Ryan Braun","Brewers","46","179","163","44","9","1","7","24","26","13","36","3","1",".269",".329",".471",".799",".335","218.0","3410"
"Shin-Soo Choo","Rangers","49","213","182","46","9","0","7","28","21","25","53","4","1",".251",".353",".422",".775",".334","229.4","3174"
"Justin Smoak","Giants","47","192","163","38","7","0","8","23","26","27","45","0","0",".235",".346",".435",".780",".333","434.3","9054"
"Gavin Lux","Dodgers","39","156","141","38","7","1","5","21","18","14","34","3","1",".270",".338",".448",".786",".333","187.3","19955"
"Ramon Laureano","Athletics","50","205","185","49","10","1","8","30","26","15","53","6","2",".266",".328",".463",".791",".332","83.3","17128"
"Daniel Murphy","Rockies","48","185","170","49","11","1","6","24","27","13","27","1","0",".287",".337",".465",".802",".332","245.5","4316"
"Omar Narvaez","Brewers","41","152","133","36","5","0","5","18","17","16","28","0","0",".270",".352",".422",".773",".332","187.9","13338"
"Brandon Lowe","Rays","49","199","179","45","10","1","9","26","27","17","59","3","1",".250",".322",".470",".791",".332","209.5","18882"
"Alec Bohm","Phillies","22","90","81","22","4","0","3","11","12","7","15","1","0",".268",".332",".455",".787",".332","999.0","21618"
"Jose Martinez","Cubs","39","148","132","37","6","0","5","18","19","13","30","1","0",".276",".343",".437",".780",".332","554.9","7996"
"Ryan McMahon","Rockies","52","201","181","47","10","1","8","25","27","18","56","2","1",".260",".331",".455",".785",".332","172.6","15112"
"C.J. Cron","Tigers","52","208","189","49","9","0","11","24","30","13","47","0","0",".257",".316",".477",".793",".331","199.9","12546"
"Kyle Tucker","Astros","41","166","150","38","8","1","7","23","23","13","39","6","2",".255",".322",".467",".789",".331","174.8","18345"
"Yuli Gurriel","Astros","51","214","199","57","12","1","7","27","31","11","25","1","1",".287",".327",".462",".790",".331","158.7","19198"
"Mike Tauchman","Yankees","32","121","106","27","6","1","4","16","15","12","27","2","1",".256",".337",".442",".779",".331","558.8","15274"
"Trent Grisham","Padres","50","198","170","43","8","2","7","25","23","24","44","3","1",".250",".344",".432",".776",".331","298.4","18564"
"Yasiel Puig","","24","97","87","23","4","0","4","12","14","8","20","3","1",".263",".330",".459",".790",".331","234.6","14225"
"Shogo Akiyama","Reds","47","204","181","49","9","1","5","28","21","20","36","4","2",".272",".349",".421",".770",".331","260.9","27461"
"Paul DeJong","Cardinals","56","235","210","52","11","1","11","31","32","19","56","2","1",".250",".322",".465",".786",".330","186.6","18015"
"Khris Davis","Athletics","53","219","195","47","8","0","13","29","35","19","61","0","0",".239",".312",".482",".794",".330","176.8","9112"
"Kevin Cron","Diamondbacks","27","91","81","20","4","0","5","12","15","7","26","0","0",".246",".314",".479",".793",".329","576.6","16211"
"Avisail Garcia","Brewers","47","195","179","49","8","1","8","24","27","12","46","3","1",".273",".325",".463",".787",".329","201.4","5760"
"Mitch Haniger","Mariners","14","58","51","13","3","0","2","8","7","6","15","1","0",".249",".330",".446",".776",".329","578.7","14274"
"Brandon Belt","Giants","49","199","171","42","9","1","7","24","21","25","44","1","1",".243",".344",".425",".769",".329","573.6","10264"
"Alex Dickerson","Giants","33","119","108","29","6","1","4","15","15","9","24","1","0",".268",".332",".447",".779",".329","584.6","12649"
"Hunter Dozier","Royals","44","184","165","42","10","2","7","22","24","17","51","1","1",".253",".323",".460",".783",".329","199.0","15117"
"Whit Merrifield","Royals","55","237","218","62","13","2","5","31","24","16","40","8","3",".287",".337",".438",".776",".329","60.9","11281"
"Wilmer Flores","Giants","37","137","126","36","7","0","5","14","17","8","16","0","0",".282",".326",".457",".782",".328","589.3","5827"
"Kurt Suzuki","Nationals","32","122","110","29","5","0","5","14","18","7","15","0","0",".268",".326",".453",".780",".328","350.8","8259"
"Justin Upton","Angels","49","201","175","42","7","0","10","27","29","22","60","1","1",".240",".326",".452",".778",".327","210.1","5222"
"Eduardo Escobar","Diamondbacks","55","233","212","55","11","2","10","30","34","17","45","1","1",".261",".315",".473",".788",".327","127.0","6153"
"Ian Happ","Cubs","45","164","143","34","7","1","7","22","21","19","49","2","1",".241",".332",".450",".782",".326","271.4","17919"
"Mitch Moreland","Padres","37","149","132","32","8","0","7","19","22","14","33","0","0",".246",".322",".462",".784",".326","572.4","3086"
"Asdrubal Cabrera","Nationals","41","167","149","40","8","0","6","21","22","15","32","1","0",".265",".333",".436",".769",".326","543.4","4962"
"Victor Robles","Nationals","55","226","200","53","12","2","6","30","25","14","47","12","4",".266",".333",".434",".767",".326","70.7","18363"
"Austin Riley","Braves","47","178","162","41","8","1","9","23","26","12","55","0","0",".250",".308",".476",".784",".326","282.0","18360"
"Jake Cave","Twins","22","84","75","20","4","0","3","11","10","6","24","0","0",".261",".326",".443",".770",".326","599.5","14477"
"Tommy La Stella","Athletics","45","165","150","41","7","0","5","22","19","13","20","0","0",".275",".337",".425",".762",".325","329.3","12371"
"Matt Beaty","Dodgers","25","92","85","23","5","0","3","12","12","6","13","1","0",".272",".329",".436",".765",".325","589.1","17710"
"Josh VanMeter","Diamondbacks","25","92","82","21","5","0","3","12","11","9","19","3","1",".254",".329",".437",".766",".325","599.4","15170"
"Hunter Renfroe","Rays","50","197","178","42","9","0","12","25","28","15","57","1","1",".234",".296",".492",".788",".325","266.2","15464"
"Randy Arozarena","Rays","8","29","26","7","1","0","1","4","3","2","6","1","0",".261",".339",".414",".753",".325","600.2","19290"
"Wilson Ramos","Mets","45","170","155","43","6","0","6","18","23","13","26","0","0",".278",".334",".430",".764",".324","174.7","1433"
"Nick Senzel","Reds","47","191","173","46","10","1","6","25","22","16","46","6","2",".265",".329",".435",".764",".324","201.6","19293"
"Brendan Rodgers","Rockies","26","101","94","26","5","1","3","13","12","5","23","1","0",".273",".322",".443",".765",".323","535.9","17907"
"Garrett Cooper","Marlins","41","160","146","39","7","0","5","19","20","12","39","0","0",".268",".328",".433",".761",".323","506.3","15279"
"Tommy Edman","Cardinals","51","207","192","53","10","2","6","27","21","12","35","7","2",".276",".325",".437",".763",".323","130.9","19470"
"Corey Dickerson","Marlins","49","196","183","50","11","1","7","23","26","10","39","1","1",".275",".316",".465",".781",".323","300.5","10762"
"Clint Frazier","Yankees","19","77","70","18","4","0","3","10","10","6","20","0","0",".252",".313",".456",".769",".323","571.1","15983"
"Chris Taylor","Dodgers","38","149","133","34","8","1","4","20","17","13","41","3","1",".254",".327",".434",".760",".322","470.3","13757"
"Ty France","Mariners","26","99","90","23","5","0","4","12","13","6","21","0","0",".261",".324",".434",".759",".322","590.6","17982"
"Robinson Chirinos","Mets","38","144","123","28","6","0","6","17","18","16","43","0","0",".228",".333",".416",".749",".322","353.4","3142"
"Steven Souza Jr.","","28","115","101","24","5","1","4","14","15","12","33","2","1",".237",".328",".425",".754",".322","582.2","5667"
"Lorenzo Cain","Brewers","53","226","203","56","10","1","4","29","20","20","38","7","2",".278",".347",".399",".746",".322","176.8","9077"
"Josh Rojas","Diamondbacks","23","95","85","22","5","1","2","12","11","10","20","3","2",".261",".339",".409",".748",".322","589.5","19734"
"Miguel Andujar","Yankees","38","161","151","41","9","1","6","20","23","8","27","0","0",".270",".309",".462",".772",".322","285.6","15878"
"Luis Robert","White Sox","51","205","190","50","10","2","8","27","26","11","55","7","3",".263",".310",".461",".771",".322","75.6","20043"
"Marwin Gonzalez","Twins","39","155","140","37","7","0","5","18","20","12","33","1","0",".266",".329",".432",".760",".322","547.6","5497"
"Todd Frazier","Mets","43","170","149","35","7","0","7","21","23","17","37","1","1",".238",".324",".435",".759",".322","559.0","785"
"Starlin Castro","Nationals","50","213","199","56","10","1","7","26","28","11","37","1","1",".283",".321",".444",".766",".322","239.5","4579"
"A.J. Pollock","Dodgers","40","163","148","38","8","1","6","23","21","11","34","3","1",".257",".316",".452",".768",".322","312.0","9256"
"Will Smith","Dodgers","40","157","137","32","6","0","7","20","23","15","41","1","0",".233",".316",".448",".764",".322","162.7","19197"
"Mike Yastrzemski","Giants","52","211","189","46","10","1","8","27","23","18","55","2","1",".246",".317",".447",".764",".321","357.2","14854"
"Dylan Carlson","Cardinals","39","162","143","36","8","1","5","21","18","15","37","3","1",".253",".326",".435",".761",".321","999.0","20126"
"Garrett Hampson","Rockies","44","171","155","42","8","2","4","22","16","13","38","9","2",".272",".332",".421",".753",".321","175.1","19262"
"Willians Astudillo","Twins","19","74","69","20","4","0","2","9","10","2","4","0","0",".288",".322",".441",".763",".321","570.2","15608"
"Josh Naylor","Indians","41","158","142","37","8","0","5","19","19","14","29","1","0",".263",".333",".419",".752",".321","594.3","18839"
"Stephen Piscotty","Athletics","40","162","145","37","8","0","6","20","21","13","34","1","0",".256",".324",".434",".758",".321","533.0","13367"
"Jurickson Profar","Padres","49","194","170","42","9","1","6","24","24","18","29","3","1",".245",".327",".425",".752",".321","513.2","10815"
"Giovanny Urshela","Yankees","48","184","171","47","9","0","6","23","23","9","32","0","0",".276",".320",".440",".760",".321","233.3","10681"
"Miguel Cabrera","Tigers","46","188","169","46","8","0","5","18","23","17","37","0","0",".272",".342",".412",".754",".320","403.7","1744"
"Adam Frazier","Pirates","51","204","185","51","11","2","4","26","20","15","27","2","1",".275",".336",".415",".750",".320","557.3","15223"
"Kole Calhoun","Diamondbacks","48","198","174","42","8","1","8","26","24","21","48","1","1",".240",".325",".433",".758",".320","429.2","11200"
"Lourdes Gurriel Jr.","Blue Jays","49","199","186","49","10","1","9","26","28","9","46","3","1",".263",".303",".463",".767",".320","155.7","19238"
"Danny Jansen","Blue Jays","37","138","122","30","6","0","5","16","17","12","25","0","0",".243",".321",".432",".753",".320","252.1","16535"
"Cesar Hernandez","Indians","54","226","202","55","10","1","4","29","22","21","39","4","1",".272",".346",".394",".739",".320","245.0","10556"
"Rowdy Tellez","Blue Jays","36","139","125","31","7","0","6","16","19","11","35","1","0",".248",".313",".448",".761",".319","553.0","15679"
"Victor Caratini","Cubs","33","113","100","26","5","0","3","13","13","10","23","0","0",".260",".334",".412",".747",".319","433.8","14968"
"Travis Shaw","Blue Jays","46","178","154","36","7","0","8","21","23","21","46","1","0",".231",".327",".432",".759",".319","434.5","11982"
"Bobby Bradley","Indians","6","22","20","5","1","0","1","3","3","2","8","0","0",".224",".294",".473",".767",".319","999.0","17278"
"Jesus Aguilar","Marlins","49","176","154","38","7","0","7","21","25","18","43","0","0",".246",".325",".428",".753",".319","483.1","11342"
"Gregory Polanco","Pirates","39","161","143","36","8","1","6","20","21","15","38","3","1",".248",".321",".442",".764",".319","391.7","12907"
"Jason Heyward","Cubs","49","198","175","45","8","1","5","25","22","20","33","2","1",".256",".335",".408",".743",".319","560.9","4940"
"Yonathan Daza","","7","27","26","8","1","0","0","3","3","1","4","0","0",".303",".336",".412",".748",".319","999.0","15794"
"Jonathan Schoop","Tigers","49","196","183","47","9","1","9","24","26","9","45","0","0",".259",".301",".462",".764",".318","363.1","11265"
"Isaac Paredes","Tigers","7","28","26","7","1","0","1","3","3","2","4","0","0",".264",".331",".411",".742",".318","600.9","20036"
"Carter Kieboom","Nationals","46","186","166","42","8","1","6","23","21","17","46","1","1",".255",".330",".414",".744",".318","307.1","19958"
"Randal Grichuk","Blue Jays","50","203","188","46","11","1","10","25","28","12","54","1","0",".242",".293",".475",".768",".318","275.8","10243"
"Nomar Mazara","White Sox","48","194","176","45","9","1","8","24","28","14","44","1","1",".255",".314",".449",".763",".318","281.3","14553"
"Greg Bird","","10","40","35","8","2","0","2","5","5","5","11","0","0",".226",".315",".436",".751",".318","599.0","14131"
"Abraham Toro","Astros","6","22","20","5","1","0","1","3","3","2","5","0","0",".248",".318",".434",".753",".318","599.5","19844"
"Teoscar Hernandez","Blue Jays","50","197","178","42","9","1","10","25","26","17","62","3","1",".233",".303",".456",".759",".318","367.6","13066"
"Robinson Cano","Mets","43","178","163","44","9","0","6","21","22","12","28","0","0",".270",".325",".432",".757",".318","444.1","3269"
"Jose Osuna","Pirates","34","118","109","28","7","1","4","15","15","7","22","0","0",".261",".310",".447",".757",".317","584.6","12937"
"Jean Segura","Phillies","47","202","187","54","10","1","4","26","21","10","25","4","2",".287",".331",".415",".746",".317","209.4","5933"
"Willy Adames","Rays","55","220","197","51","9","1","7","26","24","19","57","2","1",".257",".324",".422",".746",".317","403.5","15986"
"Cameron Maybin","Cubs","36","136","121","31","6","1","3","17","13","14","32","4","2",".256",".336",".400",".736",".317","551.7","5223"
"D.J. Stewart","Orioles","34","132","116","28","6","0","5","16","16","13","28","2","1",".241",".324",".421",".745",".317","598.6","17766"
"Aristides Aquino","Reds","20","80","73","17","3","0","4","10","11","5","24","2","0",".238",".296",".466",".762",".317","483.0","15482"
"Austin Dean","Cardinals","21","77","71","19","4","0","2","10","10","5","16","0","0",".267",".323",".423",".746",".317","999.0","18288"
"Chance Sisco","Orioles","31","108","94","22","4","0","4","13","12","10","33","0","0",".236",".329",".405",".733",".317","561.9","15694"
"Matt Joyce","Marlins","30","94","81","19","4","0","3","11","10","12","20","0","0",".236",".334",".400",".733",".317","600.4","3353"
"Renato Nunez","Orioles","53","212","192","47","9","0","10","25","29","16","53","0","0",".243",".308",".443",".751",".316","302.1","14503"
"Brett Gardner","Yankees","43","179","158","39","7","2","6","25","20","17","34","4","1",".247",".326",".417",".742",".316","432.4","9927"
"Jay Bruce","Phillies","37","146","133","31","7","0","8","18","22","12","34","0","0",".235",".297",".462",".760",".316","547.5","9892"
"Mike Brosseau","Rays","14","55","50","13","3","0","2","7","7","4","13","0","0",".255",".323",".416",".738",".316","999.0","19683"
"Sean Murphy","Athletics","36","136","123","31","7","0","5","17","17","11","31","0","0",".249",".316",".430",".746",".316","224.0","19352"
"Tim Anderson","White Sox","54","227","216","60","12","1","7","32","26","8","51","8","2",".279",".308",".445",".753",".316","95.5","15172"
"Kolten Wong","Cardinals","51","199","174","46","9","1","4","23","20","16","30","6","2",".265",".342",".400",".742",".316","217.0","12532"
"Dansby Swanson","Braves","52","211","188","48","10","1","7","27","24","19","48","3","2",".254",".325",".428",".754",".316","254.4","18314"
"Christin Stewart","Tigers","39","160","140","34","7","1","6","17","19","16","39","0","0",".240",".323",".420",".743",".316","595.0","17714"
"Didi Gregorius","Phillies","51","210","194","51","9","1","8","28","30","12","30","2","1",".261",".308",".448",".756",".316","231.9","6012"
"Tyler O'Neill","Cardinals","42","152","138","33","6","0","8","20","21","11","49","1","1",".241",".301",".455",".756",".316","506.6","15711"
"Dexter Fowler","Cardinals","46","184","158","37","7","1","6","23","20","22","44","2","1",".234",".334",".403",".737",".316","589.6","4062"
"Luis Urias","Brewers","42","167","146","37","7","1","4","21","17","16","35","1","1",".251",".337",".392",".729",".316","511.7","16622"
"Michael Chavis","Red Sox","35","142","129","31","6","0","7","18","19","11","43","1","0",".241",".307",".443",".749",".316","344.1","17321"
